Timestamp,size
2021-12-30 20:45:00,23730345.5
2021-12-30 21:15:00,24837186.5
2021-12-30 21:45:00,22296010.5
2021-12-30 22:15:00,25161409
2021-12-30 22:45:00,22871971
2021-12-30 23:15:00,22473781
2021-12-30 23:45:00,22933762
2021-12-31 00:15:00,22802200
2021-12-31 00:45:00,23700479.5
2021-12-31 01:15:00,18695108
2021-12-31 01:45:00,17179041.5
2021-12-31 02:15:00,18448874
2021-12-31 02:45:00,18619956
2021-12-31 03:15:00,15829917
2021-12-31 03:45:00,12499450
2021-12-31 04:15:00,14204315
2021-12-31 04:45:00,13701501
2021-12-31 05:15:00,12482774
2021-12-31 05:45:00,12748847.5
2021-12-31 06:15:00,15139565
2021-12-31 06:45:00,14307247
2021-12-31 07:15:00,11594984
2021-12-31 07:45:00,10978039.5
2021-12-31 08:15:00,7299673
2021-12-31 08:45:00,4848839
2021-12-31 09:15:00,6391565
2021-12-31 09:45:00,6955042.5
2021-12-31 10:15:00,10344439
2021-12-31 10:45:00,10568947
2021-12-31 11:15:00,10659025
2021-12-31 11:45:00,8578817.5
2021-12-31 12:15:00,8994230
2021-12-31 12:45:00,8638405.5
2021-12-31 13:15:00,8260480.5
2021-12-31 13:45:00,8915650
2021-12-31 14:15:00,5993398
2021-12-31 14:45:00,6530203.5
2021-12-31 15:15:00,6762997.5
2021-12-31 15:45:00,4975069
2021-12-31 16:15:00,6306694
2021-12-31 16:45:00,7373368.5
2021-12-31 17:15:00,6292315.5
2021-12-31 17:45:00,4125164.5
2021-12-31 18:15:00,3642450.5
2021-12-31 18:45:00,4940650.5
2021-12-31 19:15:00,5159332
2021-12-31 19:45:00,6079244
2021-12-31 20:15:00,5916858
2021-12-31 20:45:00,4754614
2021-12-31 21:15:00,5123233.5
2021-12-31 21:45:00,327584.5
2021-12-31 22:15:00,741820.5
2021-12-31 22:45:00,220887
2021-12-31 23:15:00,172466.5
2021-12-31 23:45:00,221418.5
2022-01-01 00:15:00,162646
2022-01-01 00:45:00,145133
2022-01-01 01:15:00,289344
2022-01-01 01:45:00,883236
2022-01-01 02:15:00,770020.5
2022-01-01 02:45:00,1275224.5
2022-01-01 03:15:00,688058.5
2022-01-01 03:45:00,326208
2022-01-01 04:15:00,181782
2022-01-01 04:45:00,204992.5
2022-01-01 05:15:00,136072
2022-01-01 05:45:00,292565.5
2022-01-01 06:15:00,1091861.5
2022-01-01 06:45:00,716776
2022-01-01 07:15:00,195667.5
2022-01-01 07:45:00,142220
2022-01-01 08:15:00,274938
2022-01-01 08:45:00,186972.5
2022-01-01 09:15:00,604538
2022-01-01 09:45:00,232814
2022-01-01 10:15:00,400848
2022-01-01 10:45:00,336558
